----Metadata----
Import schema version,1
----SpecMetadata----
Manufacturer,Model Name,Acquisition Frequency (MHz),Frequency Start (MHz),Frequency End (MHz),Nominal Gain (dBi),Beamwidth (Degrees),Electrical Downtilt (Degrees),Electrical Downtilt (Min),Electrical Downtilt (Max),Polarization,Description
KP Performance,KP-2SX4-33,2450,2300,2700,18.5,36,0,,,VERTICAL,ProLine Sector Antenna
----PatternData----
Angle (Degrees),Azimuth Gain (dBi),Elevation Gain (dBi)
63,-14.402,-1.848
64,-13.116,-2.183
65,-12.024,-2.791
66,-11.05,-3.677
67,-10.184,-4.861
68,-9.402,-6.378
69,-8.694,-8.28
70,-8.065,-10.612
71,-7.508,-13.239
72,-7.027,-15.296
73,-6.625,-15.854
74,-6.302,-15.082
75,-6.053,-13.418
76,-5.886,-11.747
77,-5.789,-10.417
78,-5.762,-9.433
79,-5.797,-8.736
80,-5.891,-8.273
81,-6.045,-8
82,-6.244,-7.885
83,-6.478,-7.902
84,-6.735,-8.034
85,-7.007,-8.262
86,-7.277,-8.575
87,-7.547,-8.964
88,-7.807,-9.422
89,-8.058,-9.943
90,-8.304,-10.521
91,-8.544,-11.144
92,-8.788,-11.796
93,-9.042,-12.462
94,-9.311,-13.12
95,-9.601,-13.751
96,-9.92,-14.338
97,-10.266,-14.866
98,-10.642,-15.333
99,-11.044,-15.742
100,-11.463,-16.106
101,-11.894,-16.431
102,-12.322,-16.718
103,-12.732,-16.967
104,-13.11,-17.176
105,-13.443,-17.344
106,-13.723,-17.472
107,-13.946,-17.561
108,-14.116,-17.614
109,-14.238,-17.64
110,-14.321,-17.652
111,-14.375,-17.664
112,-14.406,-17.688
113,-14.419,-17.728
114,-14.416,-17.787
115,-14.398,-17.87
116,-14.36,-17.986
117,-14.304,-18.151
118,-14.224,-18.378
119,-14.119,-18.675
120,-13.994,-19.047
121,-13.85,-19.503
122,-13.704,-20.071
123,-13.563,-20.793
124,-13.44,-21.722
125,-13.35,-22.892
126,-13.311,-24.239
